Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,40.430000,40.549999,39.340000,39.520000,38.147472,2443500
2018-11-23,39.619999,40.689999,39.529999,40.529999,39.122398,1369500
2018-11-26,40.529999,40.529999,38.790001,39.020000,37.664841,5348400
2018-11-27,39.049999,39.529999,38.889999,39.509998,38.137821,2306900
2018-11-28,39.500000,39.700001,39.090000,39.500000,38.128170,2284900
2018-11-29,39.419998,39.849998,39.299999,39.630001,38.253651,2003500
2018-11-30,39.480000,39.520000,38.709999,39.200001,37.838593,3616300
2018-12-03,39.189999,39.230000,38.380001,38.759998,37.413864,2465900
2018-12-04,38.950001,39.520000,38.470001,38.590000,37.249775,2678200
2018-12-06,38.720001,38.799999,37.529999,38.220001,36.892628,1919100
2018-12-07,38.099998,38.099998,37.490002,37.770000,36.458248,1645100
2018-12-10,37.900002,37.900002,36.910000,37.720001,36.409988,1890700
2018-12-11,37.770000,38.950001,37.770000,38.820000,37.471783,2736300
2018-12-12,38.799999,39.369999,38.669998,38.860001,37.510399,2219100
2018-12-13,38.720001,39.580002,38.700001,39.400002,38.031643,1932000
2018-12-14,39.250000,39.509998,38.959999,39.160000,37.799976,1465500
2018-12-17,39.099998,39.590000,38.570000,38.830002,37.481438,2821400
2018-12-18,38.869999,39.380001,38.299999,38.490002,37.153252,2305000
2018-12-19,38.880001,39.430000,38.459999,38.650002,37.307693,2701700
2018-12-20,38.430000,38.580002,37.070000,37.669998,36.361721,3648300
2018-12-21,37.709999,38.230000,35.750000,35.750000,34.508404,7220600
2018-12-24,35.689999,35.759998,33.119999,33.419998,32.259323,3771000
2018-12-26,33.610001,34.310001,32.209999,34.250000,33.060501,4509400
2018-12-27,34.139999,34.139999,32.389999,33.500000,32.336548,3881100
2018-12-28,33.599998,34.180000,33.250000,33.439999,32.278629,2781100
2018-12-31,33.459999,33.549999,32.549999,32.990002,31.844259,4052500
2019-01-02,32.759998,32.880001,32.029999,32.259998,31.139610,3518900
2019-01-03,32.220001,33.080002,32.090000,32.660000,31.525723,3312900
2019-01-04,32.619999,33.110001,32.380001,32.840000,31.699471,2520400
2019-01-07,32.730000,33.900002,32.430000,33.689999,32.519947,3543600
2019-01-08,33.340000,33.750000,33.080002,33.590000,32.763798,2296900
2019-01-09,33.580002,34.490002,33.419998,34.180000,33.339291,3916700
2019-01-10,33.959999,34.590000,33.750000,34.480000,33.631908,3034400
2019-01-11,34.570000,35.130001,34.279999,35.040001,34.178139,2341200
2019-01-14,34.849998,35.290001,34.650002,35.040001,34.178139,2298200
2019-01-15,34.939999,35.599998,34.799999,35.529999,34.656086,3292900
2019-01-16,35.360001,35.759998,35.160000,35.279999,34.412231,3766200
2019-01-17,35.310001,35.950001,35.139999,35.779999,34.899933,3095600
2019-01-18,35.650002,35.810001,35.320000,35.490002,34.617069,2292300
2019-01-22,35.299999,35.410000,34.700001,35.389999,34.519527,2959700
2019-01-23,35.450001,35.599998,34.830002,35.380001,34.509777,2507400
2019-01-24,34.810001,35.169998,34.259998,34.720001,33.866013,2253000
2019-01-25,34.860001,35.150002,34.189999,34.240002,33.397812,2548600
2019-01-28,34.169998,34.700001,34.090000,34.610001,33.758709,2196700
2019-01-29,34.599998,34.799999,34.259998,34.490002,33.641666,1737300
2019-01-30,34.480000,35.110001,34.279999,34.889999,34.031826,2202300
2019-01-31,34.919998,35.470001,34.759998,35.430000,34.558544,2984600
2019-02-01,35.560001,35.560001,34.889999,35.009998,34.148872,2334900
2019-02-04,35.020000,35.290001,34.730000,35.009998,34.148872,2310000
2019-02-05,35.009998,35.299999,34.650002,34.959999,34.100101,2563500
2019-02-06,35.000000,35.160000,34.169998,34.189999,33.349041,2612700
2019-02-07,33.680000,34.380001,33.450001,34.200001,33.358799,3213000
2019-02-08,34.060001,34.400002,34.060001,34.290001,33.446583,1660500
2019-02-11,34.349998,34.650002,33.849998,34.160000,33.319782,2357000
2019-02-12,34.220001,34.869999,34.080002,34.560001,33.709942,1733000
2019-02-13,34.610001,34.810001,34.470001,34.660000,33.807480,1619100
2019-02-14,34.500000,34.660000,34.200001,34.450001,33.602646,1900700
2019-02-15,34.730000,35.110001,34.660000,34.790001,33.934284,2533900
2019-02-19,34.830002,35.320000,34.630001,35.009998,34.148872,1893200
2019-02-20,34.980000,35.500000,34.860001,35.180000,34.314693,2615600
2019-02-21,35.160000,35.560001,34.919998,35.439999,34.568295,2282600
2019-02-22,33.770000,34.029999,32.259998,32.830002,32.022495,7744500
2019-02-25,32.959999,33.090000,32.169998,32.259998,31.466511,4093000
2019-02-26,32.849998,33.349998,32.669998,32.910000,32.100525,6314300
2019-02-27,34.049999,36.490002,33.160000,36.209999,35.319359,11371400
2019-02-28,36.209999,36.430000,35.230000,36.020000,35.134033,5971900
2019-03-01,36.000000,36.500000,35.580002,36.349998,35.455914,4167600
2019-03-04,36.380001,36.500000,35.380001,36.000000,35.114525,2851200
2019-03-05,36.000000,36.200001,35.730000,36.099998,35.212059,2331000
2019-03-06,36.099998,36.240002,35.849998,36.139999,35.251080,1875300
2019-03-07,36.160000,36.290001,35.730000,35.919998,35.036491,1711600
2019-03-08,35.980000,36.049999,35.599998,36.020000,35.134033,1754000
2019-03-11,35.930000,36.090000,35.549999,35.900002,35.016983,2141800
2019-03-12,35.919998,35.939999,35.029999,35.049999,34.187889,2387200
2019-03-13,35.099998,35.570000,35.029999,35.270000,34.402481,1879000
2019-03-14,35.369999,35.799999,35.279999,35.639999,34.763378,1939900
2019-03-15,35.639999,36.160000,35.590000,36.009998,35.124275,3569800
2019-03-18,36.060001,36.669998,36.040001,36.560001,35.660751,2055900
2019-03-19,36.520000,36.730000,36.150002,36.299999,35.407143,1587600
2019-03-20,36.389999,36.709999,36.279999,36.320000,35.426651,2046900
2019-03-21,36.520000,37.930000,36.189999,37.860001,36.928776,2709500
2019-03-22,37.740002,38.369999,37.709999,38.240002,37.299427,2796700
2019-03-25,38.200001,38.340000,37.869999,38.279999,37.338440,2059600
2019-03-26,38.389999,38.840000,38.220001,38.520000,37.572540,1791000
2019-03-27,38.369999,38.549999,37.740002,37.950001,37.016560,1863300
